대분류,소분류,cate_url_middle
스킨케어,넥케어,https://search.shopping.naver.com/best100v2/detail.nhn?catId=50000342
스킨케어,스킨/토너,https://search.shopping.naver.com/best100v2/detail.nhn?catId=50000437
스킨케어,로션,https://search.shopping.naver.com/best100v2/detail.nhn?catId=50000438
스킨케어,에센스,https://search.shopping.naver.com/best100v2/detail.nhn?catId=50000439
스킨케어,크림,https://search.shopping.naver.com/best100v2/detail.nhn?catId=50000440
스킨케어,아이케어,https://search.shopping.naver.com/best100v2/detail.nhn?catId=50000441
스킨케어,미스트,https://search.shopping.naver.com/best100v2/detail.nhn?catId=50000442
스킨케어,페이스오일,https://search.shopping.naver.com/best100v2/detail.nhn?catId=50000443
스킨케어,화장품세트,https://search.shopping.naver.com/best100v2/detail.nhn?catId=50000444
스킨케어,톤업크림,https://search.shopping.naver.com/best100v2/detail.nhn?catId=50008980
베이스메이크업,BB크림,https://search.shopping.naver.com/best100v2/detail.nhn?catId=50000470
베이스메이크업,CC크림,https://search.shopping.naver.com/best100v2/detail.nhn?catId=50000471
베이스메이크업,메이크업베이스,https://search.shopping.naver.com/best100v2/detail.nhn?catId=50000345
베이스메이크업,프라이머,https://search.shopping.naver.com/best100v2/detail.nhn?catId=50000472
베이스메이크업,파운데이션,https://search.shopping.naver.com/best100v2/detail.nhn?catId=50001370
베이스메이크업,파우더,https://search.shopping.naver.com/best100v2/detail.nhn?catId=50001369
베이스메이크업,트윈케이크,https://search.shopping.naver.com/best100v2/detail.nhn?catId=50000346
베이스메이크업,컨실러,https://search.shopping.naver.com/best100v2/detail.nhn?catId=50000347
색조메이크업,립스틱,https://search.shopping.naver.com/best100v2/detail.nhn?catId=50000391
색조메이크업,립케어,https://search.shopping.naver.com/best100v2/detail.nhn?catId=50000392
색조메이크업,립글로스,https://search.shopping.naver.com/best100v2/detail.nhn?catId=50000393
색조메이크업,립틴트,https://search.shopping.naver.com/best100v2/detail.nhn?catId=50000394
색조메이크업,립라이너,https://search.shopping.naver.com/best100v2/detail.nhn?catId=50000395
색조메이크업,아이섀도,https://search.shopping.naver.com/best100v2/detail.nhn?catId=50000396
색조메이크업,아이라이너,https://search.shopping.naver.com/best100v2/detail.nhn?catId=50001371
